Country,Nkill,Attack_count,Propvalue
Afghanistan,39384,12731,2818362.04
Albania,42,80,3299505
Algeria,11066,2743,3446847
Andorra,0,1,0
Angola,3043,499,22843000
Antigua and Barbuda,0,1,0
Argentina,490,815,5049709
Australia,23,114,192325
Austria,30,115,585294
Azerbaijan,258,49,7560
Bahamas,1,5,2401
Bahrain,44,207,2708048.04
Bangladesh,1244,1648,307418.31
Barbados,76,3,2002000
Belarus,14,13,1001
Belgium,79,154,2332756
Benin,0,8,0
Bhutan,9,6,0
Bolivia,42,314,829000
Bosnia-Herzegovina,79,159,999406
Botswana,11,10,27000
Brazil,203,273,1328604
Brunei,0,6,0
Bulgaria,28,52,138505
Cambodia,543,259,60000
Canada,365,96,10791317
Chad,1119,91,18405
Chile,228,2365,43135981
China,1008,252,769238
Colombia,14698,8306,392287375.5
Comoros,1,5,0
Costa Rica,17,67,196150
Cuba,8,30,0
Cyprus,45,132,279000.46
Czechoslovakia,27,10,2000000
Dominica,3,3,0
Dominican Republic,34,90,202302
East Germany (GDR),2,38,105000
East Timor,9,10,0
Ecuador,54,220,795502
Egypt,3869,2479,2001493
El Salvador,12053,5320,137829989.1
Equatorial Guinea,2,2,0
Eritrea,46,10,0
Ethiopia,1765,190,3221931
Falkland Islands,0,1,0
Fiji,8,17,110000
Finland,11,20,1679947.5
France,534,2693,62061668
French Guiana,1,7,0
French Polynesia,0,3,0
Gambia,13,3,0
Georgia,278,217,49307
Germany,84,735,8277310.91
Ghana,19,19,79901
Greece,325,1275,105399990
Grenada,9,5,0
Guadeloupe,8,56,348000
Guatemala,5167,2050,28156221
Guinea,213,25,24802
Guyana,41,26,200000
Haiti,336,213,15001901
Honduras,307,323,23928101
India,19341,11960,56592778.98
Indonesia,1238,761,23221288
International,1,1,45000000
Iran,1673,684,7491666
Iraq,78589,24636,15988757
Ireland,117,307,3205922
Israel,1703,2183,5548606
Italy,420,1565,121364888
Jamaica,42,36,1002
Japan,66,402,9762510
Jordan,133,113,178416
Kenya,1948,683,468704.93
Kuwait,63,76,181301
Latvia,2,17,59901
Lebanon,4061,2478,67365895
Lesotho,46,29,60000
Libya,2598,2249,29218352.67
Lithuania,1,8,0
Luxembourg,0,16,1929327
Macau,1,33,0
Macedonia,49,118,9505
Malawi,33,5,545.1
Malaysia,152,99,11153.36
Maldives,20,22,998813
Martinique,0,12,115000
Mauritania,43,18,50000
Mauritius,0,2,0
Mexico,780,524,66848525
Moldova,13,21,399901
Morocco,292,36,130000
Mozambique,2711,363,5773367
Myanmar,1280,546,5693804
Namibia,220,151,3710827
Nepal,1969,1215,847604
Netherlands,37,130,21790708
New Caledonia,35,31,657000
New Hebrides,0,1,0
Nicaragua,10598,1970,68551322
Niger,1474,154,65842
Nigeria,22682,3907,749233.64
North Korea,3,1,0
North Yemen,3,6,15000
Norway,79,19,0
Pakistan,23822,14368,1978822.9
Panama,38,127,574300
Papua New Guinea,79,89,1394505
People's Republic of the Congo,15,4,0
Peru,12771,6096,812798484
Philippines,9559,6908,33309938.29
Poland,9,39,2272.83
Portugal,32,140,473600
Rhodesia,217,83,6726200
Romania,4,6,0
Russia,4308,2194,104507
Rwanda,3236,159,119604
Senegal,325,118,19427
Seychelles,0,2,0
Sierra Leone,840,101,59802
Singapore,5,7,0
Slovak Republic,7,18,0
Slovenia,1,6,0
Solomon Islands,4,4,0
Somalia,10273,4142,549119
South Africa,2674,2016,20435515
South Korea,10,38,87000
South Vietnam,81,1,2000000
South Yemen,0,2,0
Soviet Union,96,78,915060
Spain,1288,3249,134101753
Sri Lanka,15530,3022,395733205
St. Kitts and Nevis,0,2,0
St. Lucia,2,1,0
Sudan,3883,967,153262.78
Suriname,29,66,150000
Swaziland,6,16,105000
Sweden,22,132,193763
Switzerland,74,111,17654001
Syria,15229,2201,387651
Taiwan,60,50,1728802
Thailand,2742,3849,13490421.14
Togo,76,48,1019901
Trinidad and Tobago,6,22,650701
Tunisia,351,109,22030
Turkey,6888,4292,108957095.2
Turkmenistan,3,2,0
Uganda,3065,394,111221
Ukraine,2261,1709,414857
United Arab Emirates,123,22,0
United Kingdom,3410,5235,4101863492
United States,3771,2836,986226307.1
Uruguay,6,82,5993401
Vanuatu,0,2,0
Vatican City,0,1,0
Venezuela,227,293,4932218
Vietnam,1,12,53000
Wallis and Futuna,0,1,0
West Bank and Gaza Strip,1500,2227,3887903
West Germany (FRG),97,541,29387296
Western Sahara,1,5,0
Yemen,8776,3347,164397.47
Yugoslavia,119,203,45000
Zaire,324,50,0
Zambia,70,62,58089
Zimbabwe,154,101,439794